Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
PFK1 CDS;0,38105727;0,30292946;0,082397699;PFK1;YGR240C
hypothetical protein CDS;0,38105727;0,283778524;0,082291272;;YOR105W
OPI3 CDS;0,38105727;0,270144779;0,082336418;OPI3;YJR073C
hypothetical protein CDS;0,38105727;0,264223975;0,082273958;;YDR514C
GLG1 CDS;0,38105727;-0,28831304;0,082280194;GLG1;YKR058W
VTC2 CDS;0,381470146;-0,266426973;0,082679703;VTC2;YFL004W
SIP3 CDS;0,381470146;-0,268524764;0,082670034;SIP3;YNL257C
LSM12 CDS;0,381470146;-0,39211285;0,082574663;LSM12;YHR121W
GIS2 CDS;0,38319471;-0,314245319;0,08318255;GIS2;YNL255C
DIB1 CDS;0,38319471;-0,360993897;0,083136949;DIB1;YPR082C
HNM1 CDS;0,384561923;0,260247995;0,083673628;HNM1;YGL077C
PDS1 CDS;0,384561923;-0,276379577;0,083578156;PDS1;YDR113C
CIN4 CDS;0,384561923;-0,308474895;0,083649046;CIN4;YMR138W
FRA2 CDS;0,386432187;-0,337950329;0,084145641;FRA2;YGL220W
NIT1 CDS;0,386482674;0,28022491;0,084250103;NIT1;YIL164C
YDJ1 CDS;0,386482674;0,280130077;0,084337122;YDJ1;YNL064C
YOX1 CDS;0,386482674;-0,269682929;0,084351894;YOX1;YML027W
HOM3 CDS;0,38680663;0,33841525;0,084778592;HOM3;YER052C
ELM1 CDS;0,38680663;0,288120402;0,084878585;ELM1;YKL048C
hypothetical protein CDS;0,38680663;0,286514911;0,084615585;;YDR476C
THI2 CDS;0,38680663;0,275856448;0,08484994;THI2;YBR240C
RCR2 CDS;0,38680663;0,274780903;0,084569801;RCR2;YDR003W
SCC4 CDS;0,38680663;0,255135312;0,084663634;SCC4;YER147C
hypothetical protein CDS;0,38680663;-0,278451084;0,084843835;;YNR062C
HIT1 CDS;0,386922752;0,288049112;0,084969227;HIT1;YJR055W
