Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
HXT13 CDS;1,46E-60;2,94963395;2,46E-64;HXT13;YEL069C
HXT17 CDS;5,56E-42;2,688648071;1,87E-45;HXT17;YNR072W
DSF1 CDS;3,15E-31;2,15225291;2,65E-34;DSF1;YEL070W
hypothetical protein CDS;3,15E-31;2,114409434;2,40E-34;;YNR073C
PCK1 CDS;3,15E-31;-1,922389907;1,84E-34;PCK1;YKR097W
COX5B CDS;1,55E-27;1,888901893;1,56E-30;COX5B;YIL111W
hypothetical protein CDS;1,48E-21;1,969732136;1,74E-24;;YJL133C-A
RTS3 CDS;6,93E-21;1,998607873;9,33E-24;RTS3;YGR161C
DAK2 CDS;1,17E-20;2,341671378;1,78E-23;DAK2;YFL053W
CWP1 CDS;8,71E-17;-1,844609393;1,61E-19;CWP1;YKL096W
CTT1 CDS;2,04E-15;-1,79668048;4,12E-18;CTT1;YGR088W
hypothetical protein CDS;1,12E-14;1,517755902;2,46E-17;;YFL054C
HXT16 CDS;2,83E-14;1,309646794;6,68E-17;HXT16;YJR158W
hypothetical protein CDS;6,11E-14;-1,390895985;1,54E-16;;YLR285C-A
HXT15 CDS;3,26E-13;1,276524398;8,79E-16;HXT15;YDL245C
PFK27 CDS;7,06E-13;1,561266513;2,14E-15;PFK27;YOL136C
IZH4 CDS;7,06E-13;1,556768642;2,02E-15;IZH4;YOL101C
MAL12 CDS;7,71E-13;1,942734474;2,47E-15;MAL12;YGR292W
hypothetical protein CDS;1,36E-12;1,302306871;4,95E-15;;YMR252C
IZH2 CDS;1,36E-12;1,158093148;5,04E-15;IZH2;YOL002C
MAL11 CDS;5,38E-12;1,739591333;2,08E-14;MAL11;YGR289C
SRD1 CDS;2,45E-11;1,213947385;9,92E-14;SRD1;YCR018C
STB6 CDS;2,75E-11;1,128269618;1,16E-13;STB6;YKL072W
OLE1 CDS;4,18E-11;1,287436459;1,83E-13;OLE1;YGL055W
MAL32 CDS;7,16E-11;1,777272896;3,26E-13;MAL32;YBR299W
ACO1 CDS;1,35E-10;-1,06133188;6,36E-13;ACO1;YLR304C
hypothetical protein CDS;3,21E-10;1,140393569;1,57E-12;;YNR034W-A
DSE2 CDS;3,29E-10;-1,307130243;1,66E-12;DSE2;YHR143W
PUS2 CDS;5,25E-10;1,306600539;2,74E-12;PUS2;YGL063W
CTS1 CDS;8,63E-10;-1,325063062;4,65E-12;CTS1;YLR286C
MLS1 CDS;1,20E-09;-1,087578263;6,70E-12;MLS1;YNL117W
hypothetical protein CDS;1,93E-09;1,312731305;1,11E-11;;YLR413W
MEP3 CDS;4,86E-09;1,258342357;2,87E-11;MEP3;YPR138C
PUT4 CDS;8,32E-09;-1,048878076;5,04E-11;PUT4;YOR348C
FBP1 CDS;8,55E-09;-1,197518402;5,33E-11;FBP1;YLR377C
hypothetical protein CDS;9,55E-09;1,402576161;6,11E-11;;YNR014W
DOG1 CDS;1,43E-08;1,272925915;9,63E-11;DOG1;YHR044C
USV1 CDS;1,43E-08;1,050944094;9,50E-11;USV1;YPL230W
ESF1 CDS;2,35E-08;1,058716105;1,62E-10;ESF1;YDR365C
hypothetical protein CDS;5,02E-08;0,941066811;3,55E-10;;YGR161W-C
TDA4 CDS;6,21E-08;1,10103717;4,50E-10;TDA4;YJR116W
ICT1 CDS;1,07E-07;1,035756231;7,90E-10;ICT1;YLR099C
KAR2 CDS;1,53E-07;1,300432453;1,16E-09;KAR2;YJL034W
SUC2 CDS;1,74E-07;0,937617198;1,35E-09;SUC2;YIL162W
hypothetical protein CDS;2,20E-07;0,986382065;1,74E-09;;YPR027C
hypothetical protein CDS;3,00E-07;-0,964561118;2,42E-09;;YGL262W
GAC1 CDS;3,34E-07;0,963592922;2,76E-09;GAC1;YOR178C
hypothetical protein CDS;3,61E-07;1,064024555;3,04E-09;;YJL144W
HXT10 CDS;6,41E-07;1,224867806;5,51E-09;HXT10;YFL011W
CLN2 CDS;7,07E-07;-1,255457817;6,19E-09;CLN2;YPL256C
ARG1 CDS;7,18E-07;0,959459496;6,41E-09;ARG1;YOL058W
ISF1 CDS;1,03E-06;1,006130007;9,33E-09;ISF1;YMR081C
YET2 CDS;1,28E-06;1,014833496;1,19E-08;YET2;YMR040W
hypothetical protein CDS;1,64E-06;1,008356504;1,55E-08;;YFL002W-A
hypothetical protein CDS;2,75E-06;-0,977947843;2,64E-08;;YOR186W
PCL1 CDS;3,59E-06;-1,321333063;3,51E-08;PCL1;YNL289W
IRC10 CDS;3,61E-06;0,964893218;3,59E-08;IRC10;YOL015W
BDH1 CDS;3,70E-06;0,844130657;3,74E-08;BDH1;YAL060W
hypothetical protein CDS;4,74E-06;0,993766755;4,87E-08;;YDR034C-C
hypothetical protein CDS;5,55E-06;0,972774697;5,79E-08;;YGR161W-B
FIT2 CDS;7,02E-06;0,914517556;7,48E-08;FIT2;YOR382W
FUM1 CDS;7,02E-06;-0,923155141;7,57E-08;FUM1;YPL262W
hypothetical protein CDS;9,66E-06;0,956714635;1,06E-07;;YLR410W-B
PAU7 CDS;9,79E-06;1,039940974;1,09E-07;PAU7;YAR020C
MAL31 CDS;1,04E-05;1,064660137;1,17E-07;MAL31;YBR298C
HES1 CDS;1,22E-05;0,997845562;1,42E-07;HES1;YOR237W
ICL1 CDS;1,22E-05;-0,876082407;1,40E-07;ICL1;YER065C
COS12 CDS;1,23E-05;-1,207180424;1,46E-07;COS12;YGL263W
hypothetical protein CDS;1,32E-05;0,9487287;1,58E-07;;YCL019W
UTR2 CDS;1,58E-05;-1,16913313;1,92E-07;UTR2;YEL040W
PIS1 CDS;1,79E-05;1,012736705;2,20E-07;PIS1;YPR113W
THI12 CDS;2,10E-05;0,823409979;2,61E-07;THI12;YNL332W
hypothetical protein CDS;2,62E-05;0,969049891;3,35E-07;;YFL002W-B
THI5 CDS;2,62E-05;0,871638203;3,34E-07;THI5;YFL058W
hypothetical protein CDS;3,08E-05;0,917004662;3,99E-07;;YOR192C-B
hypothetical protein CDS;3,59E-05;0,882791283;4,71E-07;;YDR034C-D
DIF1 CDS;4,03E-05;0,797610838;5,42E-07;DIF1;YLR437C
SRL1 CDS;4,03E-05;-0,868125951;5,43E-07;SRL1;YOR247W
RNR1 CDS;4,04E-05;-0,955643279;5,51E-07;RNR1;YER070W
FAS1 CDS;4,10E-05;0,85200525;5,66E-07;FAS1;YKL182W
SUN4 CDS;6,02E-05;-0,983713731;8,41E-07;SUN4;YNL066W
hypothetical protein CDS;6,11E-05;0,89454296;8,65E-07;;YLR410W-A
AMN1 CDS;6,38E-05;-1,109615659;9,14E-07;AMN1;YBR158W
hypothetical protein CDS;6,79E-05;0,955055378;9,84E-07;;YDR261W-B
CLN1 CDS;7,46E-05;-1,044245605;1,09E-06;CLN1;YMR199W
TOS6 CDS;7,50E-05;-0,818088305;1,11E-06;TOS6;YNL300W
ARO9 CDS;7,52E-05;-0,766408589;1,13E-06;ARO9;YHR137W
hypothetical protein CDS;9,01E-05;0,903416265;1,36E-06;;YGR161W-A
SPI1 CDS;9,95E-05;0,798368762;1,52E-06;SPI1;YER150W
GLK1 CDS;0,000104321;0,816005574;1,62E-06;GLK1;YCL040W
AXL2 CDS;0,000122572;-0,927452059;1,92E-06;AXL2;YIL140W
hypothetical protein CDS;0,00012655;0,912509968;2,00E-06;;YDR261W-A
hypothetical protein CDS;0,000128618;1,055779152;2,06E-06;;YNL024C
SPS100 CDS;0,000132328;-1,149577784;2,14E-06;SPS100;YHR139C
hypothetical protein CDS;0,000146441;0,889231202;2,39E-06;;YPR145C-A
TYE7 CDS;0,000179001;0,893945787;2,98E-06;TYE7;YOR344C
SVS1 CDS;0,000179001;-1,086026273;2,98E-06;SVS1;YPL163C
TDH1 CDS;0,000216966;0,84997715;3,69E-06;TDH1;YJL052W
hypothetical protein CDS;0,000216966;0,711838345;3,66E-06;;YGL039W
HSP30 CDS;0,000217411;0,762242327;3,77E-06;HSP30;YCR021C
ECM13 CDS;0,000217411;-0,850983821;3,77E-06;ECM13;YBL043W
MTL1 CDS;0,000277604;0,820353453;4,86E-06;MTL1;YGR023W
EMI2 CDS;0,000283904;0,863632755;5,02E-06;EMI2;YDR516C
ARG7 CDS;0,000318723;0,796521854;5,69E-06;ARG7;YMR062C
hypothetical protein CDS;0,000351948;0,774478514;6,34E-06;;YFL052W
PRY1 CDS;0,000402964;-0,761632484;7,40E-06;PRY1;YJL079C
PRM7 CDS;0,000411942;0,737999492;7,63E-06;PRM7;YDL039C
MSB2 CDS;0,000427822;-0,690497832;8,00E-06;MSB2;YGR014W
hypothetical protein CDS;0,000469743;0,693429136;8,86E-06;;YLR224W
hypothetical protein CDS;0,000513481;-1,09784351;9,77E-06;;YDL218W
PDH1 CDS;0,000545891;-0,881068862;1,05E-05;PDH1;YPR002W
KGD2 CDS;0,000561295;-0,640914314;1,09E-05;KGD2;YDR148C
TOS1 CDS;0,000587302;-0,977570608;1,15E-05;TOS1;YBR162C
hypothetical protein CDS;0,000591369;0,661710012;1,18E-05;;YBR284W
PHO89 CDS;0,000591369;-0,832386477;1,17E-05;PHO89;YBR296C
ARG3 CDS;0,000601157;0,699300128;1,20E-05;ARG3;YJL088W
BAG7 CDS;0,00060408;0,747635881;1,23E-05;BAG7;YOR134W
SCW4 CDS;0,00068508;-0,870933321;1,41E-05;SCW4;YGR279C
ENO2 CDS;0,000694685;0,889332633;1,44E-05;ENO2;YHR174W
ODC1 CDS;0,000694685;-0,951459795;1,45E-05;ODC1;YPL134C
hypothetical protein CDS;0,000804387;0,802462207;1,69E-05;;YFL051C
hypothetical protein CDS;0,000811451;0,97299685;1,72E-05;;YJR115W
CLB6 CDS;0,000907807;-0,872975059;1,94E-05;CLB6;YGR109C
MGA2 CDS;0,001044483;0,775203612;2,25E-05;MGA2;YIR033W
hypothetical protein CDS;0,001095613;0,771681599;2,40E-05;;YBL100W-B
YRO2 CDS;0,001095613;0,677758882;2,40E-05;YRO2;YBR054W
DSE1 CDS;0,001165272;-1,036082515;2,57E-05;DSE1;YER124C
LHS1 CDS;0,001206297;0,706253667;2,68E-05;LHS1;YKL073W
QCR2 CDS;0,001337667;-0,740824345;3,00E-05;QCR2;YPR191W
hypothetical protein CDS;0,001374113;0,953343176;3,10E-05;;YOR268C
IDH1 CDS;0,001408676;-0,852739641;3,20E-05;IDH1;YNL037C
hypothetical protein CDS;0,001433155;0,655398039;3,28E-05;;YBR230W-A
COR1 CDS;0,001452731;-0,778150778;3,35E-05;COR1;YBL045C
KCC4 CDS;0,001660454;-0,621904832;3,86E-05;KCC4;YCL024W
MSA2 CDS;0,00171984;-0,715213474;4,03E-05;MSA2;YKR077W
hypothetical protein CDS;0,001722401;0,730225022;4,06E-05;;YLR460C
DBF20 CDS;0,001773244;0,74089287;4,21E-05;DBF20;YPR111W
HRP1 CDS;0,001825398;-0,598988639;4,41E-05;HRP1;YOL123W
YAT2 CDS;0,001825398;-0,649122584;4,43E-05;YAT2;YER024W
IDH2 CDS;0,001930081;-0,831169521;4,71E-05;IDH2;YOR136W
CIS3 CDS;0,002085098;-0,96203876;5,13E-05;CIS3;YJL158C
DIT1 CDS;0,002217632;-0,773518564;5,49E-05;DIT1;YDR403W
ECL1 CDS;0,002292429;0,727799105;5,71E-05;ECL1;YGR146C
UPS2 CDS;0,002318954;-0,970364332;5,82E-05;UPS2;YLR168C
SET4 CDS;0,002508008;0,676780153;6,35E-05;SET4;YJL105W
ATP1 CDS;0,002508008;-0,630142492;6,38E-05;ATP1;YBL099W
hypothetical protein CDS;0,002606365;0,886418555;6,67E-05;;YLR346C
RKI1 CDS;0,002868132;-0,902217563;7,44E-05;RKI1;YOR095C
PIC2 CDS;0,003067354;-0,638794232;8,01E-05;PIC2;YER053C
CIT2 CDS;0,003067354;-0,860893921;8,06E-05;CIT2;YCR005C
INO1 CDS;0,003071962;0,765781275;8,23E-05;INO1;YJL153C
CHA1 CDS;0,003071962;-0,688811845;8,20E-05;CHA1;YCL064C
SCW10 CDS;0,003071962;-0,951615251;8,20E-05;SCW10;YMR305C
SRL4 CDS;0,003100157;0,705343173;8,35E-05;SRL4;YPL033C
ZWF1 CDS;0,003120395;0,67297247;8,46E-05;ZWF1;YNL241C
CYB2 CDS;0,003298103;-0,761683056;9,00E-05;CYB2;YML054C
THI11 CDS;0,003482476;0,602081518;9,56E-05;THI11;YJR156C
CIT1 CDS;0,003584339;-0,600661768;9,90E-05;CIT1;YNR001C
ROX3 CDS;0,00366909;0,629110484;0,000101954;ROX3;YBL093C
TAD2 CDS;0,003813822;0,797514894;0,000106617;TAD2;YJL035C
hypothetical protein CDS;0,003838682;0,674094063;0,000107959;;YDR210W-B
SPS4 CDS;0,003968789;-0,988163607;0,000112286;SPS4;YOR313C
hypothetical protein CDS;0,00399331;0,757678875;0,000113653;;YCL042W
SUT1 CDS;0,004243118;0,672870608;0,000121477;SUT1;YGL162W
CAX4 CDS;0,004602633;0,605239667;0,000133657;CAX4;YGR036C
EGT2 CDS;0,004602633;-0,764335497;0,000134095;EGT2;YNL327W
hypothetical protein CDS;0,004602633;-0,834904336;0,000133317;;YKL065W-A
hypothetical protein CDS;0,004727845;0,721069661;0,000138711;;YFL041W-A
IML2 CDS;0,004727845;0,720543095;0,000139335;IML2;YJL082W
ALG3 CDS;0,004815774;0,598092928;0,000142738;ALG3;YBL082C
CYC1 CDS;0,004835531;-0,909953859;0,000144138;CYC1;YJR048W
MRK1 CDS;0,004990207;0,671402908;0,000149589;MRK1;YDL079C
SAM2 CDS;0,005101743;0,622923343;0,000153791;SAM2;YDR502C
hypothetical protein CDS;0,005224347;-0,786813431;0,000158367;;YKL050C
IZH1 CDS;0,005473822;0,630412168;0,000166851;IZH1;YDR492W
TCB3 CDS;0,00553433;-0,565465993;0,000169627;TCB3;YML072C
CYT1 CDS;0,005547893;-0,681541274;0,000170978;CYT1;YOR065W
BUD7 CDS;0,005777227;-0,629843331;0,000179018;BUD7;YOR299W
YPC1 CDS;0,005876641;-0,594903091;0,000183088;YPC1;YBR183W
ECM10 CDS;0,006121399;-0,640755059;0,000191745;ECM10;YEL030W
SWI4 CDS;0,006269376;-0,637601065;0,000197436;SWI4;YER111C
BSC1 CDS;0,006315935;0,730564731;0,000202093;BSC1;YDL037C
OYE3 CDS;0,006315935;0,61901209;0,000201337;OYE3;YPL171C
LYS9 CDS;0,006315935;-0,731057967;0,000201193;LYS9;YNR050C
DSE3 CDS;0,006475281;-0,69423779;0,000208282;DSE3;YOR264W
STL1 CDS;0,006547911;-0,695960127;0,000211721;STL1;YDR536W
hypothetical protein CDS;0,006628963;-0,632961869;0,000215458;;YHR007C-A
hypothetical protein CDS;0,00666194;-0,785082318;0,000217652;;YGL230C
hypothetical protein CDS;0,00670236;0,718571661;0,000220101;;YBL100W-A
COX8 CDS;0,00677776;-0,695885797;0,000223719;COX8;YLR395C
ICY2 CDS;0,006828864;0,58589812;0,000226555;ICY2;YPL250C
TOS4 CDS;0,00779141;-0,84578338;0,000259801;TOS4;YLR183C
SDH1 CDS;0,008459819;-0,530963796;0,000283514;SDH1;YKL148C
RAX2 CDS;0,008720054;-0,632722099;0,000293703;RAX2;YLR084C
ATP16 CDS;0,010033117;-0,713323554;0,000339619;ATP16;YDL004W
ATS1 CDS;0,010068426;0,570142259;0,00034251;ATS1;YAL020C
ADE1 CDS;0,010069172;-0,556979147;0,000344231;ADE1;YAR015W
SMF2 CDS;0,010428521;-0,573023136;0,000358272;SMF2;YHR050W
RPL8A CDS;0,010530057;-0,640992034;0,000363533;RPL8A;YHL033C
ALG14 CDS;0,010871205;-0,54056409;0,000377142;ALG14;YBR070C
COS10 CDS;0,010978773;0,773032259;0,000382722;COS10;YNR075W
ZRT1 CDS;0,011088353;-0,608742282;0,000388457;ZRT1;YGL255W
GIN4 CDS;0,011088353;-0,665836817;0,000390277;GIN4;YDR507C
SCW11 CDS;0,011303482;-0,719744433;0,000399753;SCW11;YGL028C
hypothetical protein CDS;0,011551897;0,916708443;0,000410483;;YDR034C-A
hypothetical protein CDS;0,011823742;-0,854227817;0,000422134;;YLR042C
GFD2 CDS;0,011926031;-0,756385304;0,000427795;GFD2;YCL036W
HLR1 CDS;0,011956753;-0,592436905;0,00043091;HLR1;YDR528W
SOD2 CDS;0,01213008;-0,561862262;0,0004392;SOD2;YHR008C
HXK1 CDS;0,012283952;0,697132511;0,00044684;HXK1;YFR053C
ENA5 CDS;0,012401363;0,76319111;0,000453199;ENA5;YDR038C
hypothetical protein CDS;0,012447283;-0,657585871;0,000456973;;YJR030C
ATP2 CDS;0,012573503;-0,692827532;0,000463725;ATP2;YJR121W
hypothetical protein CDS;0,012805412;0,622822254;0,000474434;;YBR085C-A
SDH3 CDS;0,013051525;-0,603359549;0,000485751;SDH3;YKL141W
YPS3 CDS;0,013198402;0,691908984;0,000495361;YPS3;YLR121C
ATP5 CDS;0,013198402;-0,693954333;0,000496705;ATP5;YDR298C
GAS1 CDS;0,013198402;-0,828051342;0,000497885;GAS1;YMR307W
FAA3 CDS;0,0132736;-0,745167548;0,000502957;FAA3;YIL009W
LPD1 CDS;0,013390558;-0,505163925;0,000509644;LPD1;YFL018C
COX5A CDS;0,013440293;-0,702385805;0,0005138;COX5A;YNL052W
ERO1 CDS;0,013488537;0,736425918;0,000517916;ERO1;YML130C
RPP2A CDS;0,013583663;-0,630170339;0,000526144;RPP2A;YOL039W
CCW12 CDS;0,013583663;-0,732937367;0,000524085;CCW12;YLR110C
ALK1 CDS;0,013775814;0,631953941;0,000535907;ALK1;YGL021W
SKG6 CDS;0,01388458;-0,725368698;0,000542476;SKG6;YHR149C
hypothetical protein CDS;0,014420037;0,554103054;0,000565825;;YNL050C
AYR1 CDS;0,014564266;-0,625706263;0,000573937;AYR1;YIL124W
HXT2 CDS;0,014692426;0,704731906;0,000581462;HXT2;YMR011W
DAP1 CDS;0,015115298;0,517913135;0,000600743;DAP1;YPL170W
RAD14 CDS;0,015881152;0,515289929;0,000633855;RAD14;YMR201C
RME1 CDS;0,016052247;-0,504327979;0,000646091;RME1;YGR044C
FTR1 CDS;0,016052247;-0,633909076;0,000645003;FTR1;YER145C
hypothetical protein CDS;0,01631168;0,557734202;0,00065928;;YPR158C-C
ATG19 CDS;0,016482422;-0,5418311;0,000668956;ATG19;YOL082W
TSA2 CDS;0,016782537;0,598657207;0,000687104;TSA2;YDR453C
hypothetical protein CDS;0,016782537;0,567830067;0,000686612;;YOR302W
TDA10 CDS;0,016782537;-0,506096116;0,000689616;TDA10;YGR205W
TUB4 CDS;0,017171912;-0,509250342;0,000708508;TUB4;YLR212C
LPX1 CDS;0,017247283;-0,497858433;0,000714522;LPX1;YOR084W
DLD1 CDS;0,018887741;-0,57727052;0,000785664;DLD1;YDL174C
hypothetical protein CDS;0,019644651;0,587829833;0,000820457;;YOR343W-B
RPL9A CDS;0,019925158;-0,83351267;0,000835528;RPL9A;YGL147C
hypothetical protein CDS;0,020035202;0,645474742;0,000843516;;YPL272C
BTN2 CDS;0,020371291;0,570728862;0,000863305;BTN2;YGR142W
PDR5 CDS;0,020371291;0,544278299;0,000864528;PDR5;YOR153W
RPS29A CDS;0,0205709;-0,80910501;0,000876463;RPS29A;YLR388W
TPO2 CDS;0,021258569;0,50260406;0,000911213;TPO2;YGR138C
PAU19 CDS;0,021258569;-0,585195014;0,000912923;PAU19;YMR325W
GIP1 CDS;0,021997778;-0,4952465;0,000948372;GIP1;YBR045C
PET9 CDS;0,022029755;-0,654049686;0,00095346;PET9;YBL030C
BIO2 CDS;0,022197953;0,627232134;0,000964478;BIO2;YGR286C
CTH1 CDS;0,022286241;0,502802062;0,000972067;CTH1;YDR151C
CPA1 CDS;0,022386502;0,513604545;0,000980211;CPA1;YOR303W
POL30 CDS;0,022426229;-0,664741022;0,000985727;POL30;YBR088C
INO2 CDS;0,022807745;0,623044622;0,001006337;INO2;YDR123C
SFC1 CDS;0,0228183;-0,649867526;0,001014657;SFC1;YJR095W
SHH4 CDS;0,0228183;-0,722168758;0,001018331;SHH4;YLR164W
hypothetical protein CDS;0,0228183;-0,751788133;0,001014999;;YLR264C-A
PGK1 CDS;0,022851501;0,611327794;0,001023661;PGK1;YCR012W
RPL19B CDS;0,022959728;-0,560178896;0,001036242;RPL19B;YBL027W
RNH203 CDS;0,022959728;-0,593974326;0,001035441;RNH203;YLR154C
MCD1 CDS;0,023226282;-0,722667858;0,001052184;MCD1;YDL003W
TDH2 CDS;0,023398046;0,622838608;0,001063906;TDH2;YJR009C
hypothetical protein CDS;0,024351903;0,600695637;0,001116761;;YOR192C-A
SYC1 CDS;0,024351903;-0,533677632;0,00111415;SYC1;YOR179C
FLO11 CDS;0,024351903;-0,567313552;0,001119581;FLO11;YIR019C
ENA2 CDS;0,024429533;0,701475643;0,001139606;ENA2;YDR039C
ADH5 CDS;0,024429533;0,48920567;0,001130467;ADH5;YBR145W
IMD3 CDS;0,024429533;0,476347368;0,001137903;IMD3;YLR432W
HYR1 CDS;0,024429533;-0,50278888;0,001132943;HYR1;YIR037W
NCA3 CDS;0,024438188;0,514188825;0,001144125;NCA3;YJL116C
SSO2 CDS;0,024761169;-0,478587453;0,001163416;SSO2;YMR183C
ACS2 CDS;0,024952027;-0,628691502;0,001176586;ACS2;YLR153C
BUD4 CDS;0,025191642;0,558333617;0,001192127;BUD4;YJR092W
hypothetical protein CDS;0,025344499;0,582197838;0,001203629;;YCL020W
FIT3 CDS;0,027080192;0,520892845;0,001290619;FIT3;YOR383C
PIR3 CDS;0,027220863;0,474911418;0,001301907;PIR3;YKL163W
ENA1 CDS;0,027617312;0,671024854;0,001334477;ENA1;YDR040C
VHS1 CDS;0,027617312;0,57482044;0,001338081;VHS1;YDR247W
hypothetical protein CDS;0,027617312;0,47590454;0,001344123;;YAR010C
MIS1 CDS;0,027617312;-0,623846704;0,001330956;MIS1;YBR084W
GIC2 CDS;0,027617312;-0,644043719;0,001341222;GIC2;YDR309C
hypothetical protein CDS;0,027812165;0,505075714;0,00135829;;YJR028W
ACM1 CDS;0,028203199;-0,560163705;0,001382137;ACM1;YPL267W
ASH1 CDS;0,028541368;-0,587588701;0,001403516;ASH1;YKL185W
hypothetical protein CDS;0,029617232;-0,690244386;0,001461409;;YKL183C-A
ECM3 CDS;0,02994576;0,60842999;0,001487706;ECM3;YOR092W
TMA23 CDS;0,02994576;0,508468295;0,001485114;TMA23;YMR269W
DYN3 CDS;0,030718353;0,489235752;0,00153238;DYN3;YMR299C
POL1 CDS;0,030718353;-0,649518217;0,001536435;POL1;YNL102W
hypothetical protein CDS;0,031017737;-0,462086493;0,001556633;;YBR071W
FMP16 CDS;0,03106563;-0,649820031;0,001564268;FMP16;YDR070C
RIP1 CDS;0,031676895;-0,565426507;0,00160329;RIP1;YEL024W
PDC6 CDS;0,031676895;-0,585586189;0,001605717;PDC6;YGR087C
ETT1 CDS;0,032321315;-0,596331345;0,001643826;ETT1;YOR051C
SDH4 CDS;0,032584169;-0,551441804;0,001662682;SDH4;YDR178W
SKM1 CDS;0,032738312;0,472115131;0,00167606;SKM1;YOL113W
RHO5 CDS;0,03346024;-0,466031001;0,0017188;RHO5;YNL180C
QCR6 CDS;0,03346024;-0,636025116;0,00172429;QCR6;YFR033C
EHT1 CDS;0,033666344;-0,495161275;0,001740581;EHT1;YBR177C
hypothetical protein CDS;0,033687833;0,766451468;0,001750186;;YIL102C
MCD4 CDS;0,033853014;0,638886423;0,001772456;MCD4;YKL165C
hypothetical protein CDS;0,033853014;0,61683901;0,001773036;;YJL077W-B
DAN1 CDS;0,033929368;0,559397453;0,001792765;DAN1;YJR150C
SHE1 CDS;0,033929368;-0,600102422;0,001794177;SHE1;YBL031W
RPL22A CDS;0,033929368;-0,721238474;0,001790631;RPL22A;YLR061W
hypothetical protein CDS;0,035282345;0,548491934;0,001879125;;YCR102C
hypothetical protein CDS;0,035282345;0,486869193;0,001873294;;YPL257W-A
COX12 CDS;0,035282345;-0,682534595;0,001883547;COX12;YLR038C
COX13 CDS;0,035428859;-0,582840182;0,001897335;COX13;YGL191W
PRY2 CDS;0,035538787;-0,597868387;0,001909207;PRY2;YKR013W
GAL2 CDS;0,036217323;-0,58494529;0,001957858;GAL2;YLR081W
hypothetical protein CDS;0,037125302;-0,479629257;0,002015405;;YHR080C
LOH1 CDS;0,037125302;-0,534500164;0,002019446;LOH1;YJL038C
ATP3 CDS;0,037541369;-0,524819011;0,002048401;ATP3;YBR039W
THI13 CDS;0,037644978;0,544121363;0,002060394;THI13;YDL244W
COX6 CDS;0,037946303;-0,627800185;0,002083276;COX6;YHR051W
hypothetical protein CDS;0,038086581;0,545443776;0,00211022;;YPL088W
AGP1 CDS;0,038086581;0,509757274;0,002098485;AGP1;YCL025C
RPL22B CDS;0,038086581;-0,641862912;0,002108373;RPL22B;YFL034C-A
COQ5 CDS;0,038973673;-0,474959421;0,002165933;COQ5;YML110C
RPS22A CDS;0,03919277;-0,770377402;0,00218471;RPS22A;YJL190C
LYS12 CDS;0,039484984;-0,547036144;0,002207648;LYS12;YIL094C
RTN1 CDS;0,039532279;0,462745593;0,00221695;RTN1;YDR233C
hypothetical protein CDS;0,040048805;0,591858185;0,002252661;;YNL018C
hypothetical protein CDS;0,040118042;0,474842707;0,002263312;;YDR210C-D
RPS16A CDS;0,040429379;-0,686300325;0,002287685;RPS16A;YMR143W
DIP5 CDS;0,040692699;-0,483120926;0,002310504;DIP5;YPL265W
TRX1 CDS;0,040692699;-0,66971798;0,00231629;TRX1;YLR043C
hypothetical protein CDS;0,041344395;0,464091475;0,002361423;;YDR056C
RPS26B CDS;0,041344395;-0,587370128;0,002367311;RPS26B;YER131W
HXT4 CDS;0,041426723;0,59694544;0,002393128;HXT4;YHR092C
GRH1 CDS;0,041426723;0,484600467;0,002387758;GRH1;YDR517W
LEU4 CDS;0,041426723;-0,527844526;0,002387055;LEU4;YNL104C
hypothetical protein CDS;0,041426723;-0,551472904;0,002399931;;YHR173C
MRS4 CDS;0,041777846;0,455983969;0,002427308;MRS4;YKR052C
RPP0 CDS;0,042183848;-0,511577153;0,002458001;RPP0;YLR340W
RPS22B CDS;0,042750885;-0,738509423;0,002498241;RPS22B;YLR367W
ATP4 CDS;0,042955962;-0,649635688;0,00251746;ATP4;YPL078C
RPL29 CDS;0,043816778;-0,759872546;0,002575287;RPL29;YFR032C-A
GCY1 CDS;0,044456066;0,517878378;0,002648095;GCY1;YOR120W
NEM1 CDS;0,044456066;0,496437979;0,002650294;NEM1;YHR004C
MTC7 CDS;0,044456066;-0,487693095;0,002636353;MTC7;YEL033W
COX4 CDS;0,044456066;-0,614828008;0,002624452;COX4;YGL187C
RPL34A CDS;0,044456066;-0,628186651;0,002636633;RPL34A;YER056C-A
IML3 CDS;0,044693635;0,600790137;0,002679956;IML3;YBR107C
DFM1 CDS;0,044693635;0,495456061;0,002687037;DFM1;YDR411C
CIT3 CDS;0,044693635;-0,5012764;0,002676905;CIT3;YPR001W
ECM9 CDS;0,046322205;0,457362022;0,00279275;ECM9;YKR004C
KEL3 CDS;0,046421205;-0,672448075;0,002806536;KEL3;YPL263C
ADE13 CDS;0,046457114;-0,488874388;0,002816531;ADE13;YLR359W
PIN3 CDS;0,046624061;0,571703137;0,002834504;PIN3;YPR154W
hypothetical protein CDS;0,04783599;0,466422339;0,002924295;;YDR098C-B
UFE1 CDS;0,04783599;0,438016628;0,002923859;UFE1;YOR075W
SPO16 CDS;0,04803933;-0,782418792;0,002944816;SPO16;YHR153C
HMX1 CDS;0,048083568;-0,451762407;0,002955625;HMX1;YLR205C
SER1 CDS;0,048366034;-0,442322653;0,002989278;SER1;YOR184W
CSI2 CDS;0,048366034;-0,661046187;0,002983831;CSI2;YOL007C
